date,temperature,humidity,pressure,rainfall,weather
01-01-2026,22.1,74,1013.1,0.5,Rainy
02-01-2026,21.9,68,1015.1,0.0,Cloudy
03-01-2026,21.5,59,1015.6,0.0,Cloudy
04-01-2026,20.4,57,1016.6,0.0,Cloudy
05-01-2026,20.3,62,1016.7,0.0,Cloudy
06-01-2026,20.6,66,1017.2,0.0,Cloudy
07-01-2026,20.0,57,1017.6,0.0,Cloudy
08-01-2026,19.5,58,1017.5,0.0,Cloudy
09-01-2026,19.7,64,1016.5,0.0,Cloudy
10-01-2026,19.5,71,1016.4,0.0,Cloudy
11-01-2026,19.2,81,1017.6,0.2,Rainy
12-01-2026,20.3,78,1018.5,0.3,Rainy
13-01-2026,21.1,75,1017.7,0.8,Rainy
14-01-2026,21.8,72,1016.2,0.7,Rainy
15-01-2026,22.6,63,1014.9,0.0,Cloudy
16-01-2026,21.6,59,1015.1,0.0,Cloudy
17-01-2026,20.8,49,1014.0,0.0,Cloudy
18-01-2026,21.6,43,1012.8,0.0,Sunny
19-01-2026,21.9,47,1013.7,0.0,Sunny
20-01-2026,21.5,43,1014.1,0.0,Cloudy
21-01-2026,20.8,46,1015.4,0.0,Cloudy
22-01-2026,20.1,47,1016.1,0.0,Cloudy
23-01-2026,20.6,58,1016.9,0.0,Cloudy
24-01-2026,20.6,73,1017.3,0.1,Rainy
25-01-2026,21.1,71,1016.6,0.0,Cloudy
26-01-2026,20.3,79,1018.1,1.3,Rainy
27-01-2026,22.1,61,1017.8,0.0,Cloudy
28-01-2026,22.6,56,1016.3,0.0,Cloudy
29-01-2026,21.8,55,1016.5,0.0,Sunny
30-01-2026,21.9,44,1016.7,0.0,Cloudy
31-01-2026,21.6,42,1016.7,0.0,Cloudy
01-02-2026,21.8,58,1016.9,0.0,Cloudy
02-02-2026,22.2,59,1016.5,0.0,Cloudy
03-02-2026,22.1,52,1016.8,0.0,Cloudy
04-02-2026,21.6,48,1016.9,0.0,Sunny
05-02-2026,22.0,46,1017.4,0.0,Sunny
06-02-2026,22.0,46,1017.2,0.0,Sunny
07-02-2026,22.5,41,1016.1,0.0,Cloudy
